name,description,price,introduction,item_spec
韓國🇰🇷 AMOS 細款 神奇水蠟筆 36色,,"['NT$680', 'NT$790']","['✨可水洗', '✨好清洗', '✨好整理', '✨好著色不沾水', '✨可畫在任何光滑面上', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98r-lzjjczg8omqm56', '', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98y-lyd3i5rxo2sefb', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98s-lyd5oh3lw1lq0c', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98p-lyd5oh45v8c450', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98s-lyd5oh45v8da3e']",[]
韓國🇰🇷 mytoys 鮮奶油史萊姆 6色套裝 110g 單罐,,"['NT$75', 'NT$99']","['來自韓國的MY TOYS史萊姆，好揉捏好清理！', '每款史萊姆都已調配出獨特觸感，一開封就能玩', '溫水就能沖洗化開，避免媽媽最怕的沾黏頭髮窘況', '全品項皆獲得韓國KC安全認證，安全有保障', '奶油棉花糖史萊姆- 觸感蓬鬆Q彈，可以像揉麵團一樣揉捏混色\\', ' ', '奶油棉花糖✨✨', '📍觸感真的好特別！就像棉花糖一樣蓬鬆又Q彈', '📍特別輕盈的手感~可以像揉麵團一樣拉得又長又薄，延展性好', '📍可愛的馬卡龍色系，可以混合不同顏色一起揉捏，搭配出獨特的漸層色', '📍110g/罐，共6色：白、粉、藍、黃、綠、紫 （隨機出貨）', '品名 韓國 MYTOYS 奶油棉花糖史萊姆 110g (單罐)', ' ', '商品特色：', '來自韓國的MY TOYS史萊姆，好揉捏好清理！', '每款史萊姆都已調配出獨特觸感，一開封就能玩', '溫水就能沖洗化開，避免媽媽最怕的沾黏頭髮窘況', '全品項皆獲得韓國KC安全認證，安全有保障', '奶油棉花糖史萊姆- 觸感蓬鬆Q彈，可以像揉麵團一樣揉捏混色\\', ' ', '奶油棉花糖✨✨', '📍觸感真的好特別！就像棉花糖一樣蓬鬆又Q彈', '📍特別輕盈的手感~可以像揉麵團一樣拉得又長又薄，延展性好', '📍可愛的馬卡龍色系，可以混合不同顏色一起揉捏，搭配出獨特的漸層色', '📍110g/罐，共6色：白、粉、藍、黃、綠、紫 （隨機出貨）', ' ', '', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98w-lzju8zyqou7o81', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98x-lzju8zyqq8s4ef', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r991-lzju8zyqnfn8e8', '', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98y-lzju8zyqrnck15', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98u-lzju8zyqughga9', '', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r991-lzju8zyqyo6s9c', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r992-lzju8zyr02r8b5', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r991-lzju8zyqx9mc29']",[]
韓國CROWN皇冠 巧克力威化酥 - 榛果可可,,"['NT$52~NT$168', 'NT$52', 'NT$168']","['● 常溫開封即食，也可將其冰凍後食用', '● 外層薄脆的威化餅乾，內含香濃柔滑榛果可可，獨特口感讓您一吃上癮。', '', '[圖片] https://cdn.cybassets.com/s/files/27489/ckeditor/pictures/content_0bd34ebc-6125-45b8-93a7-71a90f4bdf5e.jpeg', '', '[圖片] https://cdn.cybassets.com/s/files/27489/ckeditor/pictures/content_47f2b215-eeef-4102-9cf0-e641c66e8cfd.jpeg']","['284g', '47g', '142g']"
韓國🇰🇷 Rose Mine大容量24小時留香沐浴乳-玫瑰香1000ml,,"['NT$88,888']","['1000ml超大容量用量', '內含芒果籽黃油及乳木果油', '使肌膚保濕水潤卻清爽不黏膩', '比一般香水的3倍香味!!', '讓你肌膚由內而外透出香氣', '', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r990-lzhf280qkkym0b', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98r-lzhf280qlzj289', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r991-lzhf280qne3i40', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98r-lzhf280qosnyaf', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98z-lzhf280qq78ef9', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r991-lzhf280qrlsu56', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r990-lzhf280qt0daa7', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98x-lzhf280quexq47', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98s-lzhf280qvti6bc', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98s-lzhf280qx82m12', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98s-lzhfodithg667a', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98y-lzhfoditiupgc9', '[圖片] https://cdn.cybassets.com/s/files/27489/ckeditor/pictures/content_b5fc3dec-20f6-4812-8e35-b5e160d1fcb6.png']",[]
韓國🇰🇷 Rose Mine 奢華香水身體乳 紫麝香1000ml,,"['NT$320', 'NT$499']","['知名The B* S*op知名香水味配方製造', '1000ml超大容量用量!!', '內含芒果籽黃油及乳木果油~', '使肌膚保濕水潤卻清爽不黏膩', '比一般香水的3倍香味!!', '讓你肌膚由內而外透出香氣', ' ', '前調:百合，依蘭，羅勒', '中調:茉莉，麝香，玫瑰', '後調:甜香草，琥珀貝蒂弗，琥珀', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r991-lzlzqiqk4f1acf', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98v-lzlzqiqk786694', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98w-lzlzqiqk8mqm7e', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98v-lzlzqiqka1b2f6', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98z-lzlzqiqkbfvi5c', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98z-lzlzqiqkcufy27', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98v-lzlzqiqke90e3f']",[]
碰碰狐夜光24小時防蚊手環 35入單包,,"['NT$210', 'NT$259']","['超可愛的碰碰狐剪影造型手環', '孩子帶著愛不釋手輕鬆防蚊', '還有酷炫的夜光效果', ' ', '天然香茅精油和植物殺菌素(芬多精)', '呵護寶貝不受蚊蟲叮擾～安全無刺激', ' ', '長效24小時，蚊蟲不靠近！！', '使用時間會因使用環境而異', '', '[圖片] https://cdn.cybassets.com/s/files/27489/ckeditor/pictures/content_a0ad794d-e691-47d6-a7dc-307a58ff2e8b.png']",[]
寶可夢12色無毒旋轉蠟筆,,"['NT$198', 'NT$299']","['【寶可夢12色無毒旋轉蠟筆】', ' ', '🎨超可愛寶可夢經典12色安全無毒蠟筆🎨', '每隻顏色鮮艷又顯色🌈🌈', '旋轉出芯不沾手👌滑順好塗～', '輕輕一轉筆身，就可以推出蠟筆', '也能保護蠟筆不易斷掉✨✨', '適合孩子塗鴉有助於腦部發育', '刺激孩子的創造力、感受力✨', '快拿起這吸睛可愛的畫筆', '沉浸在畫畫的世界裡吧🌈🌈', ' ', '● 筆桿粗細長短適合三歲以上小朋友使用', '● 旋轉筆桿，乾淨不沾手，安全衛生', '● 不容易折斷', '● 袋子設計黏扣，方便開合', '● 通過韓國KPS免檢驗証，無毒，適合兒童使用', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98v-lzhuhml77ras32', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r990-lzhuhml795v84c', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98o-lzhuhml7akfo0a', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98q-lzibybjkbbxaa5']",[]
Alfredo Feemas爆水膠原蛋白BB霜 50ml,,"['NT$360', 'NT$499']","['韓妞的同款輕薄又遮瑕的素顏妝', '防曬同時又可以保養', '爆水玻尿酸', '防曬同時還可以讓肌膚補水', '打造水潤、富有彈性的肌膚', '', '[圖片] https://cdn.cybassets.com/s/files/27489/ckeditor/pictures/content_1709b7ba-079c-4d6f-85dd-cb1d846fd64b.png']",[]
LA MER 海洋拉娜高防護隔離乳20ml SPF50 PA+++,,"['NT$320', 'NT$599']","['含有神奇活性精萃Miracle Broth濃縮精華', '以輕盈的質地擦著皮膚很舒適', ' ', '☆提供您每日必須的高效SPF50 PA+++', '☆預防色素沉澱及肌膚老化跡象', ' ', '賦予肌膚UVA、UVB防護', '不會有緊繃感', '更可當妝前乳使用', '肌膚由內而外更顯透亮光彩', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98t-lzhqnh6mvme601', '', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98w-lzhfoditpvkuda']",[]
韓國🇰🇷 bokumjari 大蒜奶油醬 100g,,"['NT$88,888']","['韓國Bokumjari大蒜奶油醬，以濃郁的大蒜香氣與順滑奶油結合，帶來豐富細膩的口感。', '這款醬料適合搭配各式料理，如麵包、烤肉或蔬菜，讓每一口都充滿濃郁的風味層次。', '簡單一抹，即可為餐點增添香濃滋味，是廚房必備的萬用調味品。', '有效期限:2025.06.12', '', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98p-lziudpfy5wda3b']",[]
韓國withshyan LEMON死皮不必剪檸檬指緣油 15ml,,"['NT$120', 'NT$199']","['夏天的指緣保養也要來點清爽的\n檸檬果油使指緣散發清新舒爽果香\n深度潤澤 有效修護 放鬆療癒 使甲面有光澤', '', '[圖片] https://cdn.cybassets.com/s/files/27489/ckeditor/pictures/content_61ebc876-eaa5-4bf9-b4fe-e48c09658066.jpg', ' ']",[]
韓國🇰🇷 Dr.ceuracle 6重玻尿酸水凝膠眼膜 60片,,"['NT$360', 'NT$590']","['【Dr.ceuracle 6重玻尿酸水凝膠眼膜-60片】', ' ', '眼下總是暗沉看起來無精打采嗎？☹️☹️', ' ', '韓國爆紅的品牌 Dr.Ceuracle', '💖6重玻尿酸水凝膠眼膜💖', '讓眼睛重回透亮精神最佳狀態🤩🤩', ' ', '💙豐富6種玻尿酸精華💦', '給肌膚深層補水保濕', '超快吸收 深入底層👌👌', ' ', '💙泛醇和果聚醣', '減少肌膚水分流失', '維持彈力水潤😏😏', ' ', '💙菸鹼胺+乙醯四胜肽-5', '擊退黑眼圈！提亮眼周更精神✨✨✨', '有效改善皺紋～加強肌膚彈力', ' ', 'Ｑ彈果凍質地水凝膠眼膜', '包裹滿滿的安瓶型精華🤣🤣', '完美貼合肌膚，完整傳遞所有營養', ' ', '產品介紹：', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98x-lzie8s4wg8wua8', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98p-lzie8s4whnha89', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98t-lzie8s4wj21qe8', 'Dr.Ceuracle水凝膠貼片採用含有6種透明質酸複合物（1000 ppm）的配方，專為乾燥和脫水肌膚提供深層且持久的保濕效果。透明質酸被譽為天然的水庫，能有效鎖住水分，維持肌膚的水合作用。而維生素B5和果聚醣則協同作用，形成穩固的屏障以防止水分流失。', ' ', '產品成分及功效：', '- 6種玻尿酸複合物：提供強效的深層保濕，維持肌膚的長時間水潤。', '- 維生素B5：作為天然保濕劑，有助於皮膚保持高水平的水分，穩定並增強皮膚屏障，保護皮膚免受自由基侵害，同時舒緩和軟化肌膚。', '- 果聚醣和積雪草萃取物：具有保濕和抗發炎作用，改善皮膚屏障功能。', '- 愛爾蘭苔蘚粉：平滑肌膚，改善肌膚的緊緻度和彈性。', '- 梔子花和洋甘菊花萃取物：具抗菌特性，幫助修復和舒緩肌膚。', '- 角豆膠：具有強效保濕功能，能軟化肌膚。', '- 腺苷：減少皺紋，收緊皮膚，並促進膠原纖維合成。', ' ', '經過皮膚科測試，適合敏感肌膚使用。貼片基於天然水凝膠，主要成分為角叉菜膠，源自紅藻。', ' ', '使用說明：', '1. 使用隨附的抹刀，小心取出兩片貼片。', '2. 將貼片塗抹於眼睛周圍的肌膚上（可根據喜好選擇寬側或窄側貼於內眼角）。', '3. 輕輕按壓，確保貼片充分貼合。', '4. 等待20-30分鐘後，取下貼片，輕拍剩餘精華直至完全吸收。', '', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98w-lzie8s4wdfrya5', '數量：60片（30對）']",[]
LEBELAGE玫瑰小粉紅透亮BB防曬霜30ml,,"['NT$110', 'NT$159']","['玫瑰水與玫瑰精萃含維他命與多種營養成分', '★高效保濕鎖水', '★長效維持肌膚水嫩，透亮有光澤', '★緩解色素沉澱', '', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98q-lzhalyuj7o66bb', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98x-lzhalyuj92qmf5', ' ', '', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r991-lziii1v3m1pada', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98x-lzhalyujahb259', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r991-lzhalyujbvvi10', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r990-lzhalyujdafy54', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98p-lzhalyujep0ee3', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98r-lzhcio69lrskca', ' ']",[]
韓國🇰🇷 OTTOGI 不倒翁 純黑胡椒粉 50g,,"['NT$125', 'NT$209']","['★純天然100%黑胡椒製作，細粉香氣釋放迅速，風味香濃純郁', '★可直接撒在料理增香，香中帶辣，祛腥提味，如烹製內臟、海鮮類料理', '★可直接撒在烹調料理，湯類、炒菜、炒飯、滷味、炸雞等依喜好斟酌加入', '★可用於醃(燻)肉加工、多種醬料之調配、餡料之調配等多種使用', '品名：韓國 OTTOGI 不倒翁100% 黑胡椒粉', ' ', '★純天然100%黑胡椒製作，細粉香氣釋放迅速，風味香濃純郁', '★可直接撒在料理增香，香中帶辣，祛腥提味，如烹製內臟、海鮮類料理', '★可直接撒在烹調料理，湯類、炒菜、炒飯、滷味、炸雞等依喜好斟酌加入', '★可用於醃(燻)肉加工、多種醬料之調配、餡料之調配等多種使用', ' ', '★品名：韓國OTTOGI不倒翁純黑胡椒粉50g', '★重量：50公克', '★成分：黑胡椒', '★保存方式：存放於乾燥陰涼處', '★製造商：Ottogi Co.,Ltd', '★產地：韓國', ' ', '｜保存期限 : 24個月', '｜製造日期&有效日期 : 依商品包裝標示', '｜營養&成分&規格 標示請參考商品圖片', '｜產地貨源：韓國', '｜商品顏色因拍攝與電腦顯示不同，依實際商品為準', ' ', ' ', '#純天然 #黑胡椒 #純正 #濃郁 #黑胡椒粒 #韓國進口 #韓國雜貨店', ' ', ' ', '#韓國黑胡椒粉 #香氣濃郁 #韓式料理必備', ' ', '', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98r-lxidbfcj7zg042', ' ', '', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r990-lxidbfcj2d681e', ' ', ' ', '', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98t-lxidbfcj56b424', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98x-lxidbfcj0ylsa4']",[]
AVOCARE 酪梨混合油,,"['NT$760~NT$1,320', 'NT$760', 'NT$1,320']","['●營養學家推崇的「超級食物」-酪梨，擁有極高的營養密度，並含豐富單元不飽和脂肪酸Omega-9。', '●高發煙點特性的酪梨油(255ﾟC)，適合在高溫煎、炒、炸、燒、烤烹飪時也能保持油品穩定，健康少油煙。', '●高品質的酪梨油也適合製作淋醬、涼拌沙拉、麵包抹醬、替代奶油烘焙使用。', '●在國外被譽為森林奶油的酪梨油，其濃郁滑順質地將賦予菜餚更多層次的風味。', '●酪梨油也是皮膚保養聖品，親膚性佳，保濕，溫和不刺激', '食用建議:可涼拌、調味,亦可高溫烹煮:煎、炒、燒、烤', '發煙點:255度', ' ', '', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98t-lz2wn40m1n32c7', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r992-lz2wn40m31niaf', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r990-lz2wn40m4g7y7b', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r992-lz2wn40m5usefa', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r992-lz2wn40m79cu84', '富含抗氧化劑，保護身體免受氧化， 它還具有增強免疫系統的好處。 ✔️含有維生素E和類胡蘿蔔素等營養素。 ', ' ', '', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98r-lz2wn40m8nxa01', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98z-lz2wn40ma2hq1a', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98t-lz2wn40mbh2603', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98y-lz2wn40mea7220', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r990-lz32cglfwgz809', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98o-lz32cglfxvjoc4', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98w-lz32cglfv2es99']","['1L', '2L']"
韓國🇰🇷 清淨園 大蒜芝士蛋黃醬 300g,,"['NT$88,888']","['韓國國民品牌清淨園 大蒜芝士蛋黃醬 300g', '結合濃郁的大蒜香氣與滑順芝士風味，口感豐富，適合搭配各式料理！😋👍', '如薯條、三明治或烤肉，增添美味層次。完美平衡酸甜鹹，讓每口都充滿驚喜。', '有效期限:2025.01.26', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r992-lziudpfy1ony32', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98v-lziudpfy4hsu0b']",[]
韓國🇰🇷 Sempio 膳府 青桔茶茶包 1.8g*20包/盒,,"['NT$210', 'NT$390']","[' ', '', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98z-lzbr1nh8snby94', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98w-lzbr1nh8u1wec6', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98q-lzbr1nh8vggufa', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98q-lzbr1nh8wv1a5c', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98x-lzbr1nh8y9lq33', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98z-lzbywr906e44e6', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98s-lzbywr907sok29', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98p-lzbywr9097900b', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r992-lzbywr90altgcb', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98s-lzbywr90c0dw70', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98v-lzbywr90deyc04', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r990-lzbywr90etise4']",[]
韓國皇冠 CROWN 栗子羊羹,,"['NT$30', 'NT$69']","['● 傳統工法，精心製作💖使用嚴選栗子與紅豆製成的傳統點心', '● 感細緻不膩😍😍香甜的好滋味 讓人忍不住一口接一口✨', '● 放在冰箱裡面冰鎮之後食用 口感更佳', ' ', '', '[圖片] https://cdn.cybassets.com/s/files/27489/ckeditor/pictures/content_7d3d74dd-331b-427f-9d66-dfb916c7334d.jpeg', '', '[圖片] https://cdn.cybassets.com/s/files/27489/ckeditor/pictures/content_9030aab2-3b00-4c04-af5c-445efc917e05.jpeg', '[圖片] https://cdn.cybassets.com/s/files/27489/ckeditor/pictures/content_230e1c6a-a81b-42c8-b786-c36315b34e29.jpeg', '', '[圖片] https://cdn.cybassets.com/s/files/27489/ckeditor/pictures/content_03e4e86c-28bb-48f3-9b6c-dd24342bd558.jpeg']",[]
韓國MUNGYO 32色/48色/64色 軟性粉彩筆,,"['NT$135~NT$255', 'NT$135', 'NT$255']","['● 符合歐盟CE(EN71)與美國AP(Contoms to ASTM D 4236)檢驗標準，安全無毒。', '● 粉質柔軟、細膩，筆觸滑順，混色更能均勻', '● 採用安全、優質的顏料與材質', '● 可塗於紙張上，或用美工刀，砂紙研磨成粉狀，再用手、軟橡皮、紙筆塗抹於作品上']","['64色', '48色', '32色']"
三立 蒜味烤麵包餅乾,,"['NT$45', 'NT$65']","['🍞 三立 Samlip 蒜味烤麵包餅乾', ' ', '- 香酥脆口，濃郁蒜味，讓你每一口都停不下來。', ' ', '新品上市', '120g', ' ', '烤香蒜麵包', '非油炸 不油膩', '大蒜麵包', '酥酥脆脆', '一口一個', '方便入口', ' ', '✨ 商品特色：', '- 非油炸，少油脂，更健康。', '- 單吃或加入濃湯都非常美味。']",[]
HATAI海太 葡萄汁,,"['NT$26', 'NT$39']","['韓國超人氣暢銷果汁 ', '味道順口，清甜超好喝 ', '韓國旅遊必喝必買，吃得到葡萄果肉', ' ', '✨顆粒飽滿，果香濃郁，酸甜可口，令人回味無窮。', '✨採用新鮮葡萄製成，保留葡萄的營養和風味，口感豐富。', '✨無論是當成日常飲品，還是派對聚會的飲料，都是絕佳的選擇。', '', '[圖片] https://cdn.cybassets.com/s/files/27489/ckeditor/pictures/content_e5059c35-b2ba-4d41-b815-9bb6f01b197b.jpg', '', '[圖片] https://cdn.cybassets.com/s/files/27489/ckeditor/pictures/content_0c91f2af-c458-452d-88c6-d39936bbe898.jpg']",[]
HATAI海太 梨汁,,"['NT$25', 'NT$39']","['韓國旅遊必喝必買品', '', '[圖片] https://cdn.cybassets.com/s/files/27489/ckeditor/pictures/content_288e9556-eeff-410c-a1e6-bb58763e6d51.jpg', '', '[圖片] https://cdn.cybassets.com/s/files/27489/ckeditor/pictures/content_544aacc5-988f-4977-86c9-c2899410211c.jpg', '', '[圖片] https://cdn.cybassets.com/s/files/27489/ckeditor/pictures/content_45e3cc44-0f62-410a-8797-9bfbecbca40b.jpg']",[]
韓國🇰🇷 清淨園 乾海帶芽 單包 25g,,"['NT$38', 'NT$59']","['清淨園之韓國海帶採摘自韓國南海', '並於韓國處理及製造', '蘊含豐富天然礦物及營養', '轉季時食用好適合！', '', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r991-lzfyjasjnilwf6', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r990-lzfyjasjox6c56', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98p-lzfyjasjqbqs3c', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98w-lzfyjasjrqb8b7', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98t-lzfyjasjt4vo55', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98w-lzfyjasjujg400', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98q-lzg3qxnymxh009', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r990-lzg3qxnyoc1g37', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98v-lzgcxsxhzcwu9b', ' ', '', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r990-lzgcxsxi6dr20b', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98v-lzgcxsxi7sbid2', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98y-lzgeknjrwvzoee']",[]
韓國🇰🇷 OTTOGI 不倒翁 即時甜南瓜粥 285g,,"['NT$120', 'NT$159']","['● 碗裝設計、便利食用，豐富美味具飽足感', '● 放入微波加熱後即可食用', ' ', '', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98r-lzfyjasjkph073']",[]
鯊魚寶寶音樂泡泡槍+泡泡液2入+電池3入,,"['NT$420', 'NT$590']","['碰碰狐Pinkfong 鯊魚寶寶音樂自動泡泡槍', ' ', '■ 令人興奮的鯊魚家族旋律', '■ 方便的自動泡泡槍', '■ 符合KC標準的KC認證產品', ' ']",[]
韓國🇰🇷 清淨園 柿子醋 900ml,,"['NT$360', 'NT$499']","[' ', '', '[圖片] https://cdn.cybassets.com/s/files/27489/ckeditor/pictures/content_b7a10bef-ed94-47f0-a8b7-646763a09bcd.jpg', '', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98r-lzgeknjryak43f', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98u-lzgeknjrzp4k8a', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98u-lzgeknjs13p0a9', ' ', '', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98x-lzfyjasjjawk6b']",[]
鬱金香火腿罐頭,,"['NT$88,888']","['', '[圖片] https://cdn.cybassets.com/s/files/27489/ckeditor/pictures/content_37c52ab0-06a8-4451-95e0-9765a877ed79.jpg', '', '[圖片] https://cdn.cybassets.com/s/files/27489/ckeditor/pictures/content_8b1ebd69-a8d4-4d07-af93-620c3548f330.jpg']",[]
HATAI海太水蜜桃風味椰果飲,,"['NT$88,888']","['', '[圖片] https://cdn.cybassets.com/s/files/27489/ckeditor/pictures/content_aa6c00ba-66cd-4e58-80c6-aa0a396bd417.jpg', '', '[圖片] https://cdn.cybassets.com/s/files/27489/ckeditor/pictures/content_2a7991ac-f407-4b02-afab-f58139c99fee.jpg']",[]
韓國🇰🇷 Samlip 迷你蜂蜜藥菓 400g,,"['NT$169', 'NT$259']","['是韓劇中常常出現的藥果~~也是韓國最傳統零食', '迷你單包設計~方便攜帶', '口感紮實，不會太甜', '平時怕甜的人吃也不用擔心會太膩', '而且還有蜂蜜的香甜味', '不管是帶去辦公室當點心吃', '還是讓小朋友帶去學校吃都好合適', '', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r992-lydujaohc0z885', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98w-lydujaoheu44c0', '[圖片] https://cf.shopee.tw/file/tw-11134208-7r98o-lydujaohdfjo64']",[]
鯊魚寶寶淋浴遊戲,,"['NT$198', 'NT$309']","['鯊魚寶寶淋浴小玩具🛁🛁', '📏尺寸 17*12*20', '', '[圖片] https://cdn.cybassets.com/s/files/27489/ckeditor/pictures/content_76c70571-df52-4240-bfdd-05816944d37e.jpg', '', '[圖片] https://cdn.cybassets.com/s/files/27489/ckeditor/pictures/content_4dcc95f2-2e06-4ffa-a62f-f03801b4e866.jpg', '', '[圖片] https://cdn.cybassets.com/s/files/27489/ckeditor/pictures/content_9da8225a-f1b2-47c8-8278-61cab03e529f.jpg', '', '[圖片] https://cdn.cybassets.com/s/files/27489/ckeditor/pictures/content_77f31e88-7d13-4227-b4f1-da182b87ba95.jpg']",[]
DAHADA石榴康普茶包,,"['NT$120', 'NT$259']","['紅茶菌，又名康普茶 好菌多多，是一種發酵茶', '它由茶、糖、再混合細菌和酵母一起發酵而成🤤', ' ', '而每杯低卡又能感受到飽足感', '大大減少對食物的慾望還能促進腸胃蠕動', '搭配上紅石榴讓你喝出好氣色🥰', ' ', '酸酸甜甜超清爽的口感❤️', '每包可用150~200ml的水泡', '不管用溫水或冷水泡都好喝', '運動前後或飯前飯後👉都適合飲用', ' ', ' ']",[]
不倒翁 OTTOGI 蜂蜜芥末醬,,"['NT$116~NT$210', 'NT$116', 'NT$210']","['百搭多變，除了炸雞🥩，薯條🍟、漢堡🍔、燒肉和牛排都是它的好朋友🧑\u200d🤝\u200d🧑。', ' ', '濃香的蜜糖🍯跟香辣的芥末混在一起，點在炸雞上，簡直在絕配👍。啖啖都是好滋味，真的無法抗拒呀😆', ' ', '■可以搭配多種料理，炸物、沙拉都百搭', '■香甜的蜂蜜加上微嗆的芥末滋味，讓料理的美味程度更上一層樓', '■吃法多樣 口感細膩']","['535g', '265g']"
